Location,Gender,Marital Status,Age years,Level of Education,Employment Status,Household Size,Have you ever used a POS,Do you own/operate a POS,Section B [The convenience of using POS],Section B [Choosing POS over other Payment/Withdrawal Technologies],Section B [Speed of transaction of POS],Section B [POS merchant service delivery],Section B [Easily accessiblility of POS],Section B [Security of POS Transaction],Section C [Lack of Security],Section C [Questionable Integrity],Section C [High Cost of maintenance of POS],Section C [High charges on transactions],Section C [There is often Network Problem],Section C [Unreliable Service],Section D [Safe to use POS],Section D [There is high level of integrity in POS],Section D [People have no knowledge of POS],Section D [Technology adequacy],Section D [Limited number of POS],Section D [Lower chargw],Section D [Volume of Cash to be withdrawn/pay],Section D [Speed of tr],Section D [Security of POS ],Section D [Reduction in stress of carrying huge fash],Section D [Ease of use],Section D [Convenience],Section D [Reduction in bank trips],Section D [Resolves chan],Section D [Skill requirements],Section D [Proper documentation/recipt]
Oshogbo,Female,Married,31 - 40,"Bsc. MSc, PhD",Employed,1 - 4,1,0,4,2,2,3,4,3,0,2,0,2,2,2,4,3,2,4,4,2,4,3,3,4,4,4,4,4,4,4
Alekuwodo Osogbo,Female,Married,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,0,3,3,4,3,3,1,2,2,0,0,0,0,4,3,3,4,3,5,3,5,3,4,4,4,5,5,4,4
"Fakunle Area, Osogbo Osun State",Male,Divorced,31 - 40,"Bsc. MSc, PhD",Employed,Greater than 9,1,0,4,3,4,4,4,4,9,9,9,9,9,9,4,4,2,4,2,1,9,4,9,9,4,4,4,2,4,4
Offatedo Area,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,Greater than 9,1,0,2,3,3,3,4,2,2,0,9,0,0,0,4,5,4,3,5,4,4,4,4,5,5,5,4,4,4,5
Alekuwodo,Male,Married,51 - 60,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,3,4,4,4,3,2,1,1,2,2,0,2,2,4,2,4,2,2,4,2,4,4,4,4,4,4,4
Alekwodo,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,0,4,3,5,4,5,3,2,1,0,2,0,0,4,3,2,3,3,2,3,4,3,5,5,5,5,5,5,5
Alekuwodo,Male,Single,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,0,5,5,5,4,5,5,1,0,2,2,2,1,5,5,4,5,4,2,2,5,3,5,5,5,5,5,5,5
Alekuwodo,Female,Married,51 - 60,"Bsc. MSc, PhD",Self,Greater than 9,1,0,4,4,4,4,4,4,0,0,0,2,0,2,4,4,4,4,5,4,2,4,4,4,4,4,2,2,4,4
Alekuwodo,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,4,4,2,3,1,2,2,0,2,2,2,4,4,2,9,1,2,1,4,1,1,4,4,4,4,2,4
Fakunle,Female,Single,31 - 40,Primary School,Self,1 - 4,1,0,4,3,4,3,4,2,2,0,2,0,2,2,2,5,2,4,1,2,4,4,3,4,5,3,5,5,3,4
Osogbo,Female,Married,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,4,5,5,5,2,2,0,1,0,0,0,4,4,2,3,3,1,3,4,3,4,3,2,2,3,3,1
